Student_ID,Student_Name,Gender,Placed,GATE_Score,Salary,Should_Do_Masters
S0079,Aman,Male,No,Poor,323548,Yes
S0080,Nikhil,Female,Yes,Average,756437,Yes
S0081,Soham,Female,No,Poor,733917,Yes
S0082,Ananya,Female,No,Poor,744503,No
S0083,Rahul,Female,No,Poor,437799,No
S0084,Rahul,Male,No,Good,1065820,Yes
S0085,Aryan,Female,No,Average,481789,Yes
S0086,Manav,Male,Yes,Good,725643,Yes
S0087,Tina,Male,Yes,Average,734352,No
S0088,Kunal,Female,Yes,Average,1102009,No
S0089,Vishal,Male,No,Poor,411776,No
S0090,Kunal,Female,No,Average,1185678,Yes
S0091,Vishal,Female,No,Good,1082119,Yes
S0092,Ananya,Male,No,Good,813624,Yes
S0093,Shreya,Male,Yes,Good,512803,Yes
S0094,Neha,Male,Yes,Average,458761,No
S0095,Aryan,Male,No,Good,797873,Yes
S0096,Priya,Female,No,Average,657092,No
S0097,Manav,Female,No,Good,321341,No
S0098,Rahul,Female,Yes,Good,659698,Yes
S0099,Shreya,Male,Yes,Average,608474,No
S0100,Ananya,Male,Yes,Good,1073429,No
S0101,Rahul,Male,No,Poor,1023776,No
S0102,Aryan,Female,No,Average,1119745,No
S0103,Rahul,Male,Yes,Average,609044,Yes
S0104,Manav,Female,No,Average,378840,Yes
S0105,Harsh,Male,Yes,Poor,461297,No
S0106,Diya,Female,No,Average,1172504,Yes
S0107,Rahul,Female,Yes,Good,349156,No
S0108,Aryan,Male,No,Good,508281,Yes
S0109,Manav,Male,Yes,Good,387453,Yes
S0110,Diya,Female,Yes,Average,1298412,Yes
S0111,Kunal,Female,Yes,Good,325938,Yes
S0112,Vishal,Male,Yes,Average,359164,Yes
S0113,Harsh,Male,Yes,Good,747746,No
S0114,Harsh,Female,Yes,Poor,1023559,Yes
S0115,Tina,Male,No,Poor,884570,No
S0116,Raj,Female,No,Poor,702681,No
S0117,Nikhil,Female,No,Poor,1464395,Yes
S0118,Kunal,Male,Yes,Average,781873,No
S0119,Soham,Male,Yes,Good,441900,Yes
S0120,Isha,Male,No,Poor,1097653,No
S0121,Manav,Male,Yes,Average,704427,No
S0122,Kunal,Male,Yes,Poor,837857,Yes
S0123,Raj,Female,Yes,Poor,337860,Yes
S0124,Harsh,Female,Yes,Average,502630,Yes
S0125,Aman,Male,Yes,Average,968875,Yes
S0126,Isha,Male,No,Good,895983,No
S0127,Raj,Male,No,Good,553078,Yes
S0128,Kunal,Female,No,Poor,1066887,No
S0129,Nikhil,Male,No,Poor,668893,No
S0130,Neha,Male,No,Good,1304731,No
S0131,Tina,Female,Yes,Good,1015295,No
S0132,Raj,Female,Yes,Average,1292652,No
S0133,Simran,Male,Yes,Good,1354212,No
S0134,Shreya,Male,Yes,Good,561578,Yes
S0135,Shreya,Male,No,Poor,583816,No
S0136,Aman,Female,No,Good,821393,No
S0137,Kunal,Male,No,Poor,1349230,No
S0138,Aryan,Male,Yes,Good,878921,Yes
S0139,Aryan,Male,No,Average,1365719,Yes
S0140,Raj,Female,Yes,Good,880222,No
S0141,Vishal,Female,No,Good,927751,Yes
S0142,Rahul,Male,No,Good,425851,No
S0143,Kunal,Male,Yes,Poor,853375,Yes
S0144,Simran,Female,Yes,Average,966978,No
S0145,Ananya,Female,No,Good,1094878,Yes
S0146,Vishal,Female,No,Poor,611011,Yes
S0147,Manav,Female,Yes,Average,744244,Yes
S0148,Aryan,Female,No,Poor,458272,No
S0149,Nikhil,Female,No,Poor,526179,No
S0150,Tina,Female,Yes,Average,1174506,No
S0151,Shreya,Female,No,Good,650036,Yes
S0152,Harsh,Female,Yes,Poor,682188,Yes
S0153,Vishal,Male,No,Poor,339148,No
S0154,Soham,Male,Yes,Good,735686,Yes
S0155,Soham,Male,No,Good,785287,No
S0156,Shreya,Female,Yes,Average,595901,No
S0157,Kunal,Male,No,Average,378012,No
S0158,Neha,Female,Yes,Average,1213475,No
S0159,Rahul,Female,No,Good,1287751,Yes
S0160,Soham,Male,No,Poor,356116,Yes
S0161,Manav,Female,No,Poor,444233,Yes
S0162,Soham,Male,No,Average,1380728,No
S0163,Soham,Male,No,Good,406379,Yes
S0164,Soham,Male,No,Poor,1369412,No
S0165,Neha,Female,No,Average,521439,No
S0166,Neha,Male,No,Poor,1490411,No
S0167,Manav,Female,No,Poor,1155876,No
S0168,Aryan,Male,Yes,Good,917397,No
S0169,Aryan,Male,Yes,Good,1498835,No
S0170,Nikhil,Male,No,Poor,1491605,Yes
S0171,Neha,Female,Yes,Average,697595,Yes
S0172,Shreya,Female,No,Good,906306,Yes
S0173,Simran,Female,No,Poor,620057,Yes
S0174,Isha,Male,Yes,Good,826925,No
S0175,Aman,Male,No,Good,765994,No
S0176,Soham,Female,No,Good,1128457,Yes
S0177,Simran,Female,Yes,Poor,1056547,Yes
S0178,Manav,Female,Yes,Average,661652,Yes
S0179,Neha,Female,No,Average,906752,Yes
S0180,Simran,Female,Yes,Average,836119,Yes
S0181,Aman,Female,Yes,Good,413768,Yes
S0182,Priya,Male,No,Poor,1071271,Yes
S0183,Priya,Female,Yes,Good,1177311,Yes
S0184,Aryan,Male,Yes,Average,1212969,No
S0185,Vishal,Male,No,Average,1264266,No
S0186,Simran,Female,Yes,Poor,929112,No
S0187,Priya,Female,Yes,Good,1316462,No
S0188,Rahul,Male,No,Average,1437317,Yes
S0189,Isha,Female,No,Poor,1367406,No
S0190,Nikhil,Female,No,Good,1160380,Yes
S0191,Rahul,Male,Yes,Good,369202,No
S0192,Nikhil,Male,No,Average,599189,Yes
S0193,Kunal,Male,No,Average,517394,Yes
S0194,Vishal,Female,Yes,Good,457699,No
S0195,Aryan,Male,No,Good,577342,No
S0196,Ananya,Female,No,Average,1155953,Yes
S0197,Kunal,Male,No,Good,804655,Yes
S0198,Kiara,Male,No,Average,536824,Yes
S0199,Ananya,Male,Yes,Good,1367979,No
S0200,Aryan,Female,No,Average,1352257,No
S0201,Aman,Female,No,Poor,653699,Yes
S0202,Kiara,Male,Yes,Average,1348072,No
S0203,Tina,Male,No,Average,929674,Yes
S0204,Rahul,Male,Yes,Poor,698845,No
S0205,Kunal,Female,Yes,Good,393246,No
S0206,Priya,Male,Yes,Poor,1444440,No
S0207,Priya,Female,No,Average,508886,No
S0208,Soham,Male,Yes,Good,570561,No
S0209,Neha,Male,Yes,Poor,1160931,Yes
S0210,Aryan,Male,Yes,Good,487646,Yes
S0211,Priya,Male,No,Good,1320332,No
S0212,Shreya,Male,No,Poor,1083566,Yes
S0213,Manav,Male,No,Good,1114107,Yes
S0214,Manav,Female,No,Poor,835620,No
S0215,Vishal,Male,No,Average,1079105,Yes
S0216,Vishal,Female,No,Good,1105609,No
S0217,Rahul,Male,No,Average,1216992,Yes
S0218,Nikhil,Male,Yes,Average,520326,Yes
S0219,Priya,Female,Yes,Good,1023807,Yes
S0220,Priya,Male,Yes,Poor,619248,Yes
S0221,Rahul,Female,Yes,Good,646479,Yes
S0222,Aryan,Female,No,Average,1429306,Yes
S0223,Aman,Male,Yes,Average,590477,Yes
S0224,Soham,Female,Yes,Poor,583817,No
S0225,Ananya,Female,Yes,Good,1200853,No
S0226,Isha,Male,Yes,Average,553017,No
S0227,Simran,Female,No,Average,951824,No
S0228,Ananya,Male,No,Average,633245,Yes
S0229,Rahul,Male,No,Poor,1109253,Yes
S0230,Priya,Male,Yes,Average,1374070,Yes
S0231,Rahul,Male,No,Average,674842,No
S0232,Kiara,Female,Yes,Good,673704,No
S0233,Diya,Male,No,Good,1342630,No
S0234,Kiara,Male,No,Average,580790,Yes
S0235,Neha,Female,No,Average,423777,No
S0236,Rahul,Male,No,Good,1155783,Yes
S0237,Priya,Male,No,Poor,1201366,No
S0238,Vishal,Female,Yes,Poor,433501,Yes
S0239,Isha,Female,No,Poor,884942,No
S0240,Aryan,Female,Yes,Poor,669566,Yes
S0241,Isha,Female,Yes,Poor,419975,No
S0242,Aryan,Female,Yes,Poor,1023503,No
S0243,Diya,Female,Yes,Poor,1426103,Yes
S0244,Priya,Female,Yes,Poor,648848,Yes
S0245,Ananya,Male,No,Good,466991,No
S0246,Kunal,Female,No,Poor,396952,Yes
S0247,Rahul,Female,No,Poor,633260,No
S0248,Soham,Female,No,Poor,765806,Yes
S0249,Aryan,Male,Yes,Average,1176058,No
S0250,Priya,Male,No,Good,346015,Yes
S0251,Shreya,Female,No,Good,402877,No
S0252,Nikhil,Female,Yes,Good,693922,No
S0253,Diya,Female,Yes,Poor,971088,No
S0254,Simran,Male,No,Poor,1224501,Yes
S0255,Simran,Male,No,Average,1015768,No
S0256,Raj,Female,Yes,Good,1275601,Yes
S0257,Nikhil,Male,No,Poor,691670,Yes
S0258,Ananya,Female,No,Good,731739,Yes
S0259,Neha,Male,No,Average,911796,No
S0260,Aryan,Male,No,Average,1039127,Yes
S0261,Harsh,Female,Yes,Average,340633,Yes
S0262,Aryan,Female,Yes,Good,1351893,Yes
S0263,Manav,Female,Yes,Poor,607124,No
S0264,Priya,Female,No,Poor,1130547,Yes
S0265,Nikhil,Male,No,Average,1011323,Yes
S0266,Isha,Male,No,Poor,1023953,Yes
S0267,Rahul,Male,No,Average,719876,Yes
S0268,Soham,Female,No,Good,1226109,No
S0269,Soham,Male,Yes,Average,1008669,No
S0270,Shreya,Female,No,Good,327043,Yes
S0271,Diya,Male,No,Average,333635,Yes
S0272,Simran,Female,Yes,Poor,510387,Yes
S0273,Rahul,Female,No,Poor,1429267,Yes
S0274,Vishal,Male,Yes,Average,799730,No
S0275,Manav,Female,Yes,Poor,1306891,No
S0276,Soham,Female,Yes,Poor,1442520,No
S0277,Diya,Male,Yes,Poor,1027467,No
S0278,Rahul,Female,Yes,Good,755796,Yes
S0279,Aryan,Female,No,Poor,1201699,Yes
S0280,Aryan,Female,Yes,Good,1297057,No
S0281,Rahul,Male,Yes,Average,1387812,No
S0282,Kiara,Male,No,Poor,1105855,Yes
S0283,Tina,Female,No,Poor,854280,Yes
S0284,Rahul,Male,Yes,Poor,1311942,Yes
S0285,Ananya,Female,No,Average,415140,Yes
S0286,Diya,Female,No,Good,475993,Yes
S0287,Kiara,Female,Yes,Good,1153349,No
S0288,Harsh,Female,Yes,Poor,510047,No
S0289,Neha,Female,No,Average,586100,Yes
S0290,Tina,Male,Yes,Average,363879,Yes
S0291,Neha,Female,Yes,Average,882848,No
S0292,Soham,Male,No,Average,1338939,Yes
S0293,Ananya,Male,Yes,Average,672454,No
S0294,Aryan,Female,Yes,Good,1024045,No
S0295,Vishal,Female,Yes,Good,1242164,No
S0296,Aman,Male,Yes,Good,1345533,No
S0297,Priya,Male,Yes,Poor,779280,Yes
S0298,Kunal,Male,No,Average,1087600,Yes
S0299,Tina,Female,No,Poor,607268,No
S0300,Rahul,Male,Yes,Average,970392,Yes
S0301,Kiara,Female,No,Good,1499399,Yes
S0302,Raj,Female,Yes,Poor,854661,Yes
S0303,Kunal,Female,Yes,Good,422026,Yes
S0304,Isha,Male,Yes,Average,1378846,No
S0305,Raj,Female,Yes,Average,1227890,Yes
S0306,Aryan,Female,Yes,Average,1413760,No
S0307,Ananya,Female,No,Good,807532,No
S0308,Diya,Female,No,Average,1035053,Yes
S0309,Priya,Female,Yes,Good,862167,No
S0310,Diya,Male,No,Poor,1322560,Yes
S0311,Shreya,Female,Yes,Average,611741,Yes
S0312,Nikhil,Female,No,Average,1256636,No
S0313,Harsh,Male,Yes,Average,303626,Yes
S0314,Neha,Female,No,Poor,508137,No
S0315,Neha,Male,Yes,Average,1234149,No
S0316,Nikhil,Female,Yes,Good,1047320,Yes
S0317,Soham,Male,No,Good,444454,Yes
S0318,Tina,Male,No,Average,736442,Yes
S0319,Simran,Female,Yes,Average,554043,No
S0320,Harsh,Female,No,Poor,943198,Yes
S0321,Aman,Female,Yes,Poor,762927,No
S0322,Manav,Male,No,Poor,920343,No
S0323,Aryan,Male,No,Average,1030070,Yes
S0324,Ananya,Male,Yes,Poor,1220947,Yes
S0325,Shreya,Female,No,Poor,1107827,Yes
S0326,Shreya,Male,No,Good,410084,No
S0327,Manav,Male,Yes,Poor,1314391,Yes
S0328,Kunal,Female,No,Good,645876,No
S0329,Isha,Male,Yes,Good,1329649,Yes
S0330,Simran,Male,Yes,Poor,773006,Yes
S0331,Raj,Female,Yes,Good,1157692,No
S0332,Harsh,Male,Yes,Average,1087839,No
S0333,Rahul,Female,Yes,Average,373568,Yes
S0334,Ananya,Female,No,Poor,1407136,Yes
S0335,Priya,Female,Yes,Average,1264844,Yes
S0336,Raj,Female,Yes,Good,1497442,Yes
S0337,Kiara,Female,No,Average,1499529,Yes
S0338,Tina,Male,No,Poor,1061058,No
S0339,Nikhil,Male,No,Poor,526024,No
S0340,Soham,Female,Yes,Good,1261858,No
S0341,Nikhil,Female,Yes,Poor,391288,No
S0342,Manav,Male,Yes,Average,771678,Yes
S0343,Vishal,Female,No,Poor,1185733,No
S0344,Shreya,Female,Yes,Good,314390,No
S0345,Aryan,Female,No,Poor,797619,No
S0346,Aryan,Male,Yes,Average,518547,Yes
S0347,Harsh,Male,No,Good,851595,No
S0348,Neha,Female,Yes,Average,527436,Yes
S0349,Priya,Female,Yes,Good,525121,No
S0350,Ananya,Male,Yes,Poor,551063,Yes
S0351,Raj,Male,No,Good,1373078,No
S0352,Aryan,Female,No,Good,528300,Yes
S0353,Priya,Female,Yes,Poor,403920,No
S0354,Kunal,Male,Yes,Average,1318056,Yes
S0355,Manav,Male,Yes,Poor,1228252,Yes
S0356,Rahul,Male,No,Good,887073,No
S0357,Shreya,Female,Yes,Poor,900338,Yes
S0358,Priya,Male,Yes,Good,847026,Yes
S0359,Nikhil,Female,Yes,Poor,374231,No
S0360,Manav,Male,Yes,Poor,373606,No
S0361,Diya,Male,No,Average,793896,Yes
S0362,Manav,Male,No,Good,456688,No
S0363,Harsh,Male,Yes,Average,795898,No
S0364,Soham,Female,Yes,Good,1316382,No
S0365,Diya,Female,No,Poor,462403,Yes
S0366,Manav,Male,No,Good,1001458,Yes
S0367,Shreya,Female,Yes,Average,1374704,Yes
S0368,Priya,Male,No,Average,1380132,Yes
S0369,Priya,Male,No,Average,1488597,Yes
S0370,Kunal,Male,Yes,Good,876250,Yes
S0371,Isha,Male,No,Average,817200,Yes
S0372,Aryan,Female,No,Average,1230220,No
S0373,Manav,Male,Yes,Average,483683,Yes
S0374,Tina,Male,Yes,Poor,832125,Yes
S0375,Manav,Female,No,Poor,1236663,No
S0376,Isha,Male,Yes,Good,1203112,No
S0377,Neha,Male,No,Good,1072291,No
S0378,Tina,Male,Yes,Average,1333879,Yes
S0379,Nikhil,Female,No,Poor,926701,No
S0380,Aryan,Male,Yes,Average,351012,Yes
S0381,Manav,Female,No,Average,430193,Yes
S0382,Raj,Male,No,Poor,1276809,Yes
S0383,Isha,Male,No,Poor,518168,No
S0384,Priya,Female,Yes,Poor,448178,No
S0385,Priya,Male,Yes,Good,358123,Yes
S0386,Neha,Male,No,Good,411825,Yes
S0387,Soham,Female,No,Average,1070391,Yes
S0388,Shreya,Female,Yes,Good,524866,No
S0389,Kiara,Female,Yes,Poor,1324208,Yes
S0390,Rahul,Female,Yes,Poor,1238624,No
S0391,Aryan,Female,Yes,Good,1499438,Yes
S0392,Aryan,Male,Yes,Average,882943,No
S0393,Nikhil,Female,Yes,Average,1015003,Yes
S0394,Aman,Male,No,Good,478446,No
S0395,Manav,Male,Yes,Average,998267,No
S0396,Shreya,Male,No,Average,596956,No
S0397,Rahul,Female,Yes,Average,1136002,No
S0398,Aryan,Female,Yes,Poor,1408762,No
S0399,Aryan,Male,No,Poor,1470642,No
S0400,Ananya,Female,No,Good,690508,Yes
S0401,Tina,Female,Yes,Poor,336160,Yes
S0402,Aman,Female,No,Average,319156,Yes
S0403,Shreya,Female,No,Poor,1424784,Yes
S0404,Raj,Male,No,Good,773196,No
S0405,Shreya,Male,No,Poor,765536,Yes
S0406,Diya,Female,Yes,Average,973289,No
S0407,Neha,Male,No,Average,759822,No
S0408,Nikhil,Female,Yes,Good,1019701,No
S0409,Kiara,Female,Yes,Poor,1181809,Yes
S0410,Rahul,Male,Yes,Poor,605007,No
S0411,Soham,Male,Yes,Poor,1037197,Yes
S0412,Ananya,Male,No,Average,365439,Yes
S0413,Tina,Female,No,Good,945649,Yes
S0414,Neha,Male,Yes,Poor,512986,Yes
S0415,Nikhil,Female,Yes,Average,329777,Yes
S0416,Vishal,Male,Yes,Average,720661,No
S0417,Kunal,Male,Yes,Average,498110,No
S0418,Isha,Female,No,Poor,1333981,Yes
S0419,Kiara,Female,Yes,Poor,714627,No
S0420,Raj,Female,No,Poor,1005937,Yes
S0421,Aman,Female,Yes,Poor,578011,No
S0422,Isha,Female,Yes,Poor,1493914,No
S0423,Isha,Female,Yes,Poor,990568,No
S0424,Tina,Female,Yes,Poor,859650,No
S0425,Manav,Female,No,Poor,550449,No
S0426,Vishal,Male,No,Poor,613732,No
S0427,Rahul,Female,No,Average,1080445,No
S0428,Soham,Female,Yes,Poor,505827,No
S0429,Rahul,Male,Yes,Good,502918,No
S0430,Priya,Female,No,Average,1312671,No
S0431,Isha,Male,No,Poor,642424,No
S0432,Kiara,Male,Yes,Good,1142955,No
S0433,Soham,Female,Yes,Poor,1223882,No
S0434,Kunal,Male,No,Good,1040045,Yes
S0435,Manav,Female,Yes,Good,1456245,No
S0436,Shreya,Male,Yes,Good,1032318,No
S0437,Soham,Male,No,Good,458998,No
S0438,Raj,Male,Yes,Average,922995,No
S0439,Rahul,Female,No,Average,545847,No
S0440,Vishal,Female,Yes,Good,1276006,No
S0441,Soham,Male,No,Poor,1174168,Yes
S0442,Soham,Male,Yes,Good,567614,Yes
S0443,Priya,Female,No,Average,1494601,Yes
S0444,Raj,Female,No,Poor,1256011,No
S0445,Nikhil,Male,No,Average,1092955,No
S0446,Soham,Male,No,Average,593313,No
S0447,Isha,Female,Yes,Poor,454062,Yes
S0448,Shreya,Female,Yes,Good,1154032,No
S0449,Vishal,Female,No,Good,857373,No
S0450,Nikhil,Female,Yes,Good,1445640,Yes
S0451,Shreya,Female,Yes,Good,1006014,Yes
S0452,Vishal,Male,Yes,Poor,433114,No
S0453,Kunal,Female,Yes,Poor,1156566,No
S0454,Diya,Male,Yes,Poor,791638,No
S0455,Nikhil,Female,No,Average,857765,No
S0456,Harsh,Male,No,Poor,984076,Yes
S0457,Priya,Female,No,Good,439133,No
S0458,Manav,Female,No,Average,1065710,No
S0459,Rahul,Male,Yes,Good,645165,Yes
S0460,Shreya,Male,Yes,Good,570001,No
S0461,Isha,Female,No,Poor,723327,No
S0462,Priya,Female,Yes,Poor,1082409,Yes
S0463,Kunal,Female,Yes,Good,644572,Yes
S0464,Raj,Female,No,Good,950332,No
S0465,Tina,Female,Yes,Average,1013391,Yes
S0466,Kunal,Male,No,Poor,805350,Yes
S0467,Diya,Male,No,Average,637164,No
S0468,Manav,Female,Yes,Average,1377057,Yes
S0469,Rahul,Male,Yes,Average,966627,No
S0470,Aman,Male,No,Good,1204329,No
S0471,Aman,Male,No,Average,1061062,No
S0472,Kiara,Female,Yes,Average,437815,No
S0473,Harsh,Male,No,Good,927763,Yes
S0474,Shreya,Female,No,Poor,1004133,No
S0475,Vishal,Male,No,Poor,619186,No
S0476,Tina,Female,Yes,Average,349476,No
S0477,Shreya,Male,No,Good,1345471,No
S0478,Soham,Female,Yes,Poor,590696,Yes
S0479,Simran,Female,No,Average,1020602,Yes
S0480,Kunal,Male,Yes,Average,984308,Yes
S0481,Diya,Female,No,Good,369093,No
S0482,Raj,Female,Yes,Average,316535,Yes
S0483,Ananya,Female,Yes,Poor,628634,Yes
S0484,Tina,Female,Yes,Good,556323,No
S0485,Vishal,Female,No,Poor,558916,Yes
S0486,Kiara,Female,No,Poor,1013895,No
S0487,Neha,Female,No,Poor,341269,Yes
S0488,Manav,Female,Yes,Average,1429250,Yes
S0489,Manav,Male,No,Average,1128894,Yes
S0490,Simran,Male,Yes,Poor,1220631,Yes
S0491,Nikhil,Female,No,Poor,585291,No
S0492,Ananya,Female,Yes,Good,738744,No
S0493,Priya,Male,Yes,Good,1068460,Yes
S0494,Raj,Male,Yes,Average,390925,No
S0495,Aryan,Male,No,Average,890669,Yes
S0496,Soham,Female,No,Good,1256176,Yes
S0497,Kunal,Male,No,Poor,1362307,Yes
S0498,Raj,Female,Yes,Average,1449697,Yes
S0499,Isha,Female,Yes,Poor,565976,Yes
S0500,Isha,Male,No,Good,312467,Yes
S0501,Simran,Female,No,Average,1389601,No
S0502,Nikhil,Female,No,Average,1492755,No
S0503,Shreya,Female,Yes,Good,1345851,Yes
S0504,Kunal,Female,Yes,Average,377994,No
S0505,Tina,Male,Yes,Good,394202,Yes
S0506,Nikhil,Male,Yes,Average,867769,No
S0507,Kunal,Female,Yes,Good,744854,No
S0508,Rahul,Female,No,Average,1048987,No
S0509,Raj,Male,Yes,Poor,460185,Yes
S0510,Raj,Female,Yes,Poor,384363,No
S0511,Kiara,Male,Yes,Poor,625188,Yes
S0512,Ananya,Female,Yes,Average,511027,Yes
S0513,Vishal,Female,Yes,Average,1278534,Yes
S0514,Kunal,Male,No,Poor,573958,No
S0515,Aryan,Male,Yes,Poor,572168,No
S0516,Rahul,Male,Yes,Good,1195668,No
S0517,Raj,Male,Yes,Good,882124,Yes
S0518,Soham,Female,No,Good,1284588,Yes
S0519,Aryan,Male,No,Poor,555095,No
S0520,Simran,Female,No,Poor,781632,Yes
S0521,Simran,Male,Yes,Poor,549717,No
S0522,Shreya,Male,No,Good,1381516,No
S0523,Raj,Female,Yes,Average,829954,No
S0524,Raj,Male,Yes,Poor,1216185,No
S0525,Harsh,Male,No,Average,1209834,Yes
S0526,Priya,Male,Yes,Average,506717,No
S0527,Aman,Male,Yes,Average,326505,No
S0528,Manav,Female,Yes,Good,747603,No
S0529,Isha,Female,No,Average,1129601,No
S0530,Rahul,Male,Yes,Poor,1269246,No
S0531,Nikhil,Male,Yes,Good,512204,No
S0532,Kiara,Male,No,Poor,549836,No
S0533,Harsh,Female,Yes,Poor,1058849,Yes
S0534,Vishal,Female,Yes,Good,828168,Yes
S0535,Soham,Female,No,Poor,736670,Yes
S0536,Diya,Female,Yes,Poor,1273215,Yes
S0537,Harsh,Male,Yes,Good,867827,No
S0538,Aryan,Male,Yes,Poor,540056,Yes
S0539,Rahul,Male,Yes,Average,807800,Yes
S0540,Priya,Female,Yes,Poor,1453419,Yes
S0541,Aman,Male,No,Average,743942,No
S0542,Shreya,Female,No,Poor,348784,Yes
S0543,Tina,Female,No,Good,413034,Yes
S0544,Priya,Male,No,Good,734044,No
S0545,Ananya,Male,Yes,Poor,1402938,Yes
S0546,Simran,Male,Yes,Good,353997,No
S0547,Shreya,Female,Yes,Poor,481413,Yes
S0548,Ananya,Female,Yes,Good,1100981,No
S0549,Isha,Male,Yes,Average,1143352,Yes
S0550,Ananya,Male,No,Poor,1040686,Yes
S0551,Kiara,Female,No,Average,1084752,Yes
S0552,Manav,Male,Yes,Average,457255,No
S0553,Vishal,Female,Yes,Poor,1180292,Yes
S0554,Isha,Female,Yes,Average,848912,No
S0555,Soham,Male,No,Poor,870993,No
S0556,Vishal,Male,Yes,Average,1146822,No
S0557,Aryan,Male,Yes,Poor,368369,No
S0558,Raj,Male,Yes,Poor,1000146,Yes
S0559,Priya,Female,No,Good,1050046,Yes
S0560,Raj,Female,Yes,Poor,947999,Yes
S0561,Diya,Female,No,Poor,376425,No
S0562,Rahul,Male,No,Average,796297,Yes
S0563,Simran,Female,No,Poor,1318543,No
S0564,Kiara,Male,No,Good,411915,No
S0565,Nikhil,Male,No,Average,685105,No
S0566,Manav,Male,No,Average,783414,Yes
S0567,Harsh,Male,Yes,Good,1453248,Yes
S0568,Neha,Male,Yes,Average,1113071,No
S0569,Tina,Male,Yes,Average,618821,Yes
S0570,Kiara,Female,No,Average,332930,Yes
S0571,Raj,Male,Yes,Average,1421889,No
